titulo,url_cart
Submarino,submarino.com.br/produto/|submarino.com.br/categoria/|submarino.com.br/landingpage/
Americanas,americanas.com.br/produto/|americanas.com.br/categoria/|americanas.com.br/landingpage/
Walmart,www2.walmart.com.br/checkout/
"Giuliana Flores",giulianaflores.com.br/basket.aspx
Sépha,www.sepha.com.br/carrinho/?ref=CarrinhoSuspenso
"Cestas Michelli",cestasmichelli.com.br/basket.aspx
"Nova Flor",novaflor.com.br/basket.aspx
Ingresso.com,
"Safari Shop",safarishop-cart.obabox.com.br/Cart/Index
"Print Loja",
Groupon,groupon.com.br/deals
ShopFato,shopfato.com.br/checkout/#/cart
Dafiti,
Sephora,
Ibis,
Polishop,polishop.com.br/checkout
Mercure,
Novotel,
"Accor Hotéis",secure.accorhotels.com/store/index.html
ViajaNet,viajanet.com.br/shop/checkout
GetNinjas,
Kanui,
"Peixe Urbano",https://carrinho.peixeurbano.com.br/comprar/
UOL,
Be2,
CVC,cvc.com.br/passagens-aereas/checkout|cvc.com.br/hoteis/compra|cvc.com.br/monte-sua-viagem/compra|cvc.com.br/monte-sua-viagem/resultado
"Di Santinni",disantinni.com.br/carrinho/carrinho.aspx
"Hotel Urbano",secure.hotelurbano.com/cart
Carrefour,carrefour.com.br/carrinho|carrefour.com.br/finalizar-compra
Mobly,secure.mobly.com.br/cart/
TAP,
Condor,condor.com/tca/pt/flight/result
Netshoes,netshoes.com.br/cart
Coquelux,
"Emprego Certo",
Otel,
Edreams,edreams.com.br/travel/secure|secure.booking.com|edreams.com/travel/secure
Hinode,hinodeonline.com.br/checkout/
Saraiva,saraiva.com.br/checkout
"Mega Mamute",megamamute.com.br/checkout
Bob's,
Westwing,
Tricae,
"Balão da Informática",www.balaodainformatica.com.br/Comprar/?passo=carrinho
Polario,
StrawberryNET,br.strawberrynet.com/shopcart.aspx
"Editora Abril","assine.abril.com.br/portal/carrinho|assine.abril.com.br/portal/pagamento | assine.abril.com.br/portal/entrega "
PetiteBox,petitebox.com.br/checkout/
UseHuck,
Marcyn,marcyn.com.br/checkout
"Pet Love",www.petlove.com.br/carrinho#/resumo
eDestinos,secure.edestinos.com.br
CarSystem,
Oppa,secure.oppa.com.br/checkout/
Posthaus,posthaus.com.br/pedido/sacola
"Porto Seguro",
HEAPUP,
Dell,dell.com/pt-br/cart/allcarts
Girafa,girafa.com.br/checkout
Shoptime,shoptime.com.br/produto/|shoptime.com.br/categoria/|shoptime.com.br/landingpage/
Extra,carrinho.extra.com.br
"Casas Bahia",carrinho.casasbahia.com.br
"Ponto Frio",carrinho.pontofrio.com.br
ZocPrint,
Farfetch,farfetch.com/br/checkout/basket.aspx
Camiseteria,
Marisa,novo.marisa.com.br/carrinho/pagamento
"Lojas MM",http://www.lojasmm.com/basket/index.aspx
Nextel,
eÓtica,eotica.com.br/checkout/
Olook,http://cart.olook.com.br/ckout/
"Ri Happy",rihappy.com.br/checkout
EasyQuarto,
Wine,wine.com.br/checkout.ep
